tweet_id,label,content,tree_size
731166399389962242,unverified,🔥ca kkk grand wizard 🔥 endorses @hillaryclinton #neverhillary #trump2016 URL,148
714598641827246081,unverified,an open letter to trump voters from his top strategist-turned-defector URL via @xojanedotcom,96
691809004356501505,non-rumor,"""america is a nation of second chances"" —@potus on new reforms to solitary confinement: URL URL",635
693204708933160960,non-rumor,"brandon marshall visits and offers advice, support to brother of fallen hero zaevion dobson: URL URL",326
551099691702956032,true,rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. URL,120
767223774072676354,non-rumor,"former 3 doors down guitarist matt roberts has died at age 38, according to his father. URL URL",637
715515982584881152,unverified,craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL,650
514106273852174337,true,just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL,543
500319801344929795,unverified,"the day #ferguson cops told a dirty, bloody lie (via @thedailybeast): URL URL",261
495366618818830336,false,#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.,179
532206910796468224,false,a chick-fil-a manager allegedly banned this hilarious list of slang words URL URL,125
560187970389819392,false,islamic tribunal using sharia law in texas has been confirmed URL @breitbartnews #a4a URL,825
531568534066057217,false,alpha male rt @marc_leibowitz: photo of vladimir putin's motorcade. posted without comment. URL,171
489829414704648192,false,เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ URL URL,391
524925730053181440,unverified,"shooter still on loose after uniformed soldier shot at #ottawa's war memorial, across road from parliament. mp's being taken out of offices.",758
766989078294306816,non-rumor,report: more american fifth-graders taking gap year to unwind before middle school URL URL,696
499530130487017472,unverified,a woman in #ferguson was shot in head last night and released this selfie. conflicting reports of how it happened: URL,405
520284654755381249,false,"report: amazon plans to open its first physical store, in new york URL",130
767515401831997440,non-rumor,"‘keep it,’ says simone biles throwing gold medal to adoring men's gymnastics team URL #rio2016 URL",891
565999191982616577,true,"let's let our friends know that a state senator in south carolina stated ""women are a lesser cut of meat"" #chewonthis URL",117
554343513887105024,false,a traditional beer that authorities believe was poisoned with crocodile bile has killed 56 people in mozambique: URL,253
767715489485205505,non-rumor,nothing to see here. just nuggets forward wilson chandler catching a 350-pound fish: URL URL,812
553467311261503488,unverified,reports of shooting at dammartin en goele on route n2 north east of paris - french media says car chase under way,94
553960736964476928,false,"police chief helric fredou, one of the police officers investigating the case #charliehebdo, commits suicide. URL",294
500303431928922113,unverified,"reminder: forget the robbery, forget the minor looting. nothing justifies militarized police pointing sniper rifles at journalists #ferguson",123
538900739880665088,unverified,afghan woman picked up her dead son's gun and helped kill 25 taliban militants to save village URL URL,174
516420964834611201,unverified,"from #ferguson to #hongkong. #hongkongdemocracy protests adopt ""hands up, don't shoot"" URL",106
80080680482123777,false,seriously? racist mcdonald’s sign is obviously a hoax - URL,101
687945926774800385,non-rumor,"several in critical condition - one in a coma - after clinical trial of new drug in france, health minister says URL",614
436089462326849536,false,omfg read this its my personal experience with talking angela URL,501
568589712644026368,false,why did macklemore delete this tweet!? #macklemorejoinedisis URL,371
767360696761905153,non-rumor,this is @jackalltimelow asking you to watch the #vma #weekendbrunch that's starting right now. 🙌 URL,634
407231591191035904,true,"paul walker died too fast, i'm furious.. :/",160
505369323922522113,false,tupac was hiding for 18 years 😳 URL,339
576513463738109954,unverified,putin reappears on tv amid claims he is unwell and under threat of coup URL URL,56
689214940679409664,non-rumor,#eagles co-founder glenn frey has died aged 67,262
522782267215982592,unverified,a passenger at dulles international airport has been spotted wearing a homemade hazmat suit (via @dailycaller) #ebola URL,232
387233034350514176,false,"if amber alert really had to shutdown b/c of lack of funds, as obama said, why did it go back up today after bad pr? #governmentshutdown",114
693554344298467328,non-rumor,how to raise a creative child step one: back off URL URL,283
706665777332621314,unverified,".@berniesanders: in 2016, ""we will end institutional racism and reform a broken criminal justice system.” #demdebate",94
531530591427391488,unverified,iraqi officials say isis leader wounded in airstrike URL,106
532199717594497024,false,no baes allowed: a chick-fil-a manager bans 22 hip words URL URL,265
503498696273965056,unverified,"“key [foley beheading] suspect is abdel majed bary, 23, who left his $1m west london home last year….” URL",138
553184482241814530,unverified,"i am still confused as to why these ""highly trained"" individuals left their id in the getaway car. #charliehebdo",170
692838349036326912,non-rumor,"when you spend the whole day thinking it's friday, but it's not... URL",331
580320684305416192,unverified,"accident aircraft looks to be germanwings (airline code 4u or gwi) flight 9525, barcelona to dusseldorf. #4u9525 URL",57
514057033419849728,true,"alaskan reporter says ""f*ck this,"" quits on live tv in marijuana legalization protest: URL URL",140
693696168908423168,non-rumor,"ex-president of el salvador, francisco flores, dies at 56, government says. URL URL",284
550284252672450560,unverified,"transgender teen leelah alcorn publishes suicide note on tumblr: ""my death needs to mean something"" URL",167
407167258452971520,true,paul walker mourned by vin diesel and more 'fast & furious' co-stars URL #rippaulwalker URL,152
509464457836511232,true,"apparently microsoft are trying to buy mojang, the creators of minecraft, for around $2 billion... o_o",298
499612545909415938,unverified,"nearly 7k blacks were murdered last yr--almost all by other blacks. a tiny % were unarmed-killed-by-cop. where's al, jesse? #tcot #ferguson",121
692892472729415680,non-rumor,the las vegas raiders? URL URL,496
527131140721623040,unverified,poster girl for kobane resistance reportedly beheaded. sickening. URL #rehana #kobane URL,555
726043971911213057,unverified,"target boycott crosses 1 million signers, stock sinks by $1.5 billion URL",193
730939370765754368,unverified,ca grand dragon endorses hillary clinton on behalf of the kkk. #trump2016 URL URL,258
